ID,Distance,Galactocentric Radius,Vobs,e_Vobs,Vgas,Vdisk,Vbul,SBdisk,SBbul,Radius,gobs,gbar,L10(gobs),L10(gbar),tdyn,tdyn,Luminosity,Mass
,Mpc,kpc,km/s,km/s,km/s,km/s,km/s,,,m,m/s2,,,,seconds,Gyr,,
CamB,3.36,0.16,1.99,1.5,1.86,3.75,0,30.32,0,4.9376E+18,8.02029E-13,3.54871E-12,-12.09580975,-11.44992975,1.17957E+15,0.037399099,0.075,0.012
CamB,3.36,0.41,4.84,1.5,4.24,9.47,0,23.77,0,1.26526E+19,1.85145E-12,8.5088E-12,-11.73248906,-11.07013145,1.21943E+15,0.038662856,0.075,0.012
CamB,3.36,0.57,6.79,1.5,5.61,11.76,0,15.87,0,1.75902E+19,2.62101E-12,9.65138E-12,-11.58153123,-11.0154106,1.35002E+15,0.042803472,0.075,0.012
CamB,3.36,0.73,8.87,1.5,6.77,13.72,0,12.4,0,2.25278E+19,3.49244E-12,1.03903E-11,-11.45687154,-10.98337061,1.47246E+15,0.046685607,0.075,0.012
CamB,3.36,0.9,10.9,1.5,7.77,14.8,0,9.63,0,2.7774E+19,4.27774E-12,1.00602E-11,-11.36878544,-10.99739198,1.66156E+15,0.05268094,0.075,0.012
CamB,3.36,1.06,12.9,1.5,8.44,15.24,0,5.86,0,3.27116E+19,5.08719E-12,9.27779E-12,-11.29352237,-11.03255568,1.87771E+15,0.059534272,0.075,0.012
CamB,3.36,1.22,14.7,1.5,8.64,15.11,0,5.19,0,3.76492E+19,5.73956E-12,8.04696E-12,-11.24112108,-11.09436802,2.16303E+15,0.068580429,0.075,0.012
CamB,3.36,1.47,16.8,1.5,8.08,15.9,0,3.02,0,4.53642E+19,6.22165E-12,7.01206E-12,-11.20609469,-11.1541545,2.54351E+15,0.080644024,0.075,0.012
CamB,3.36,1.79,20.1,1.5,6.91,14.91,0,0.88,0,5.52394E+19,7.3138E-12,4.88883E-12,-11.13585684,-11.3107948,3.36141E+15,0.106576189,0.075,0.012
D512-2,15.2,0.96,22.9,2.71,4.08,14.85,0,16.45,0,2.96256E+19,1.77012E-11,8.00554E-12,-10.75199619,-11.09660942,1.9237E+15,0.060992523,0.325,0.081
D512-2,15.2,1.92,33.5,2.71,6.24,21.2,0,7.4,0,5.92512E+19,1.89405E-11,8.24249E-12,-10.72260754,-11.08394141,2.68114E+15,0.085007568,0.325,0.081
D512-2,15.2,2.88,37.2,4.19,7.45,20.56,0,2.72,0,8.88768E+19,1.55703E-11,5.38066E-12,-10.80770253,-11.26916422,4.06421E+15,0.128858961,0.325,0.081
D512-2,15.2,3.83,35.9,5.98,8.09,20.08,0,1.79,0,1.18194E+20,1.09042E-11,3.96514E-12,-10.9624058,-11.4017419,5.45969E+15,0.173103804,0.325,0.081
D564-8,8.79,0.51,8.54,1.53,3.47,6.36,0,6.37,0,1.57386E+19,4.63393E-12,3.33514E-12,-11.33405036,-11.47688539,2.17233E+15,0.068875387,0.033,0.029
D564-8,8.79,1.02,15.1,1.41,5.33,8.66,0,2.82,0,3.14772E+19,7.24366E-12,3.28506E-12,-11.1400422,-11.48345665,3.09547E+15,0.09814421,0.033,0.029
D564-8,8.79,1.53,19.8,1.8,6.34,9.09,0,1.19,0,4.72158E+19,8.30315E-12,2.60133E-12,-11.08075697,-11.58480518,4.26036E+15,0.135077986,0.033,0.029
